VARIABLE NAME,DESCRIPTION,SAS ANALYSIS FORMAT,SAS SYSTEM DATA LENGTH,SAS FORMAT,FORM,VAR START DATE,VAR END DATE,FORM SECTION,DATA TYPE,INTERPRETATION_TYPE,Delete When,nas,VARIABLE LABEL IN SAS DATA,COMMENT 
WLHR,WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/HEART,
WLIN,WAS CANDIDATE LISTED FOR SIMULTANEOUS INTESTINE?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/INTESTINE,
WLKI,WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/KIDNEY,
WLKP,WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY-PANCREAS?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/KIDNEY-PANCREAS,
WLLI,WAS CANDIDATE LISTED FOR SIMULTANEOUS LIVER?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/LIVER,
WLLU,WAS CANDIDATE LISTED FOR SIMULTANEOUS LUNG?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/LUNG,
WLPA,WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/PANCREAS,
WLPI,WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS ISLET?,,1,$1.00 ,CALCULATED,,,,CHAR,CHAR,,,MULTIPLE LISTING W/PANCREAS ISLET,
WORK_INCOME_TCR,WORK FOR INCOME AT REGISTRATION?,,1,$1.00 ,TCR,30-Jun-04,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR WORKING FOR INCOME,
WORK_INCOME_TRR,RECIPIENT WORK FOR INCOME AT TRANSPLANT?,,1,$1.00 ,TRR,30-Jun-04,,PATIENT STATUS,CHAR,CHAR,U,U,TRR WORKING FOR INCOME,
YR_ENTRY_US_TCR,YEAR OF ENTRY TO THE U.S.,,8,DATETIME22.3,TCR,30-Jun-04,,CANDIDATE INFORMATION,CHAR,CHAR,,,TCR YEAR OF ENTRY TO THE U.S.,
